id,assessment_id,question_type,prompt,difficulty,sort_order,points
7c4b9a7b-a31e-534e-81dd-5aa5a5e1d43b,f9eb680a-8c85-500d-981e-e8ab14032c08,single_select,Aşağıdakilerden hangisi denetimli öğrenme örneğidir?,beginner,1,1
fcaaf1bc-fb4f-578c-9ee2-066c12cc9e51,f9eb680a-8c85-500d-981e-e8ab14032c08,single_select,"Modelin eğitim verisinde çok iyi, yeni veride kötü performans göstermesi neyi işaret eder?",beginner,2,1
944715a9-14c5-5a1c-ac88-680a01497286,f9eb680a-8c85-500d-981e-e8ab14032c08,single_select,RAG mimarisinde retrieval adımının temel amacı nedir?,beginner,3,1
910b7e5a-8902-57ad-9c9b-cdec9fbc098c,f9eb680a-8c85-500d-981e-e8ab14032c08,single_select,Precision metriği özellikle neyi ölçer?,beginner,4,1
daf762a2-b9d7-5a80-a0c6-568afa139bc0,f9eb680a-8c85-500d-981e-e8ab14032c08,single_select,Backpropagation hangi amaçla kullanılır?,intermediate,5,1
664adc0b-bfc6-501d-9ec0-dab0f26d1267,f9eb680a-8c85-500d-981e-e8ab14032c08,single_select,Prompt injection riski en çok hangi durumda artar?,intermediate,6,1
5449f009-838b-5360-9aa6-4ad3449387fc,f9eb680a-8c85-500d-981e-e8ab14032c08,single_select,Cross-validation neden kullanılır?,intermediate,7,1
7f55877a-aeef-5d7c-bdda-9259b3acb9e9,f9eb680a-8c85-500d-981e-e8ab14032c08,single_select,Embedding neyi temsil eder?,intermediate,8,1
3ec41c91-caa3-5c98-a537-729b5bb06b31,f9eb680a-8c85-500d-981e-e8ab14032c08,single_select,MLOps izleme hattında drift ne anlama gelir?,intermediate,9,1
11be5fae-db53-5b83-b703-e74aff9598e3,f9eb680a-8c85-500d-981e-e8ab14032c08,single_select,Bir AI ürününde insan onayı hangi durumlarda kritiktir?,advanced,10,1
15f788f6-93a4-5bb3-aacc-5df85c2227ab,f9eb680a-8c85-500d-981e-e8ab14032c08,single_select,Learning rate çok yüksekse genelde ne olur?,advanced,11,1
56d775f3-c5b2-550d-bd66-66525df9f417,f9eb680a-8c85-500d-981e-e8ab14032c08,single_select,AI mühendisliğinde baseline neden önemlidir?,advanced,12,1
61dca2c3-26ce-5bd8-a64c-9b8a5dfae62b,559e27d2-5894-5d14-a0b2-a00483e0117f,single_select,Python çalışma ortamı modülünün ana çıktısı hangisidir?,beginner,1,1
2e05679c-61d8-57fd-a94a-a2f587167860,559e27d2-5894-5d14-a0b2-a00483e0117f,single_select,"Python, paketler ve notebook akışı çalışılırken ilk yapılması gereken nedir?",beginner,2,1
